"source ref des","source pad","net","net class","side","x","y","pad type","footprint side"
"TP13","1","Net-(U4-EOC)","Default","TOP",111.0,-109.1,"SMT","TOP"
"TP34","1","GND","GND,Default","TOP",91.5,-104.0,"SMT","TOP"
"TP3","1","GND","GND,Default","TOP",99.5125,-75.2,"SMT","TOP"
"TP2","1","Net-(U2-IN)","Default","TOP",96.5125,-75.2,"SMT","TOP"
"TP7","1","/POWER/~{BATT_CHG}","Default","TOP",99.3,-117.7,"SMT","TOP"
"TP24","1","GND","GND,Default","TOP",163.2,-120.0,"SMT","TOP"
"TP10","1","/POWER/MPP","Default","TOP",108.0,-93.4,"SMT","TOP"
"TP16","1","GND","GND,Default","TOP",148.3,-78.65,"SMT","TOP"
"TP11","1","/POWER/STORE","Default","TOP",108.0,-99.5,"SMT","TOP"
"TP31","1","GND","GND,Default","TOP",119.4125,-84.6,"SMT","TOP"
"TP12","1","Net-(U4-UVP)","Default","TOP",108.0,-109.1,"SMT","TOP"
"TP27","1","GND","GND,Default","TOP",103.9125,-71.8,"SMT","TOP"
"TP6","1","/POWER/~{BATT_CONN}","Default","TOP",99.3,-113.65,"SMT","TOP"
"TP1","1","/MCU/NRST","Default","TOP",163.2,-123.0,"SMT","TOP"
"TP17","1","Net-(U6-TXD1)","Default","TOP",148.3,-81.65,"SMT","TOP"
"TP19","1","Net-(J8-Pin_2)","Default","TOP",157.1,-132.5,"SMT","TOP"
"TP18","1","GND","GND,Default","TOP",157.9,-139.15,"SMT","TOP"
"TP8","1","Net-(U4-IN_LV)","Default","TOP",108.0,-96.5,"SMT","TOP"
"TP15","1","Net-(J12-Pin_1)","Default","TOP",148.3,-84.7,"SMT","TOP"
"TP28","1","GND","GND,Default","TOP",108.0,-102.5,"SMT","TOP"
"TP14","1","GND","GND,Default","TOP",108.0,-112.1,"SMT","TOP"
"TP5","1","/MCU/~{ALRT}","Default","TOP",119.4125,-87.6,"SMT","TOP"
"TP40","1","/MCU/VDD_TCXO","Default","TOP",144.875,-93.35,"SMT","TOP"
"TP4","1","/POWER/OUT","Default","TOP",106.9125,-71.8,"SMT","TOP"
"TP33","1","/POWER/STORE","Default","TOP",91.5,-107.0,"SMT","TOP"
"TP9","1","VDD","VDD,Default","TOP",111.0,-102.5,"SMT","TOP"
