Comment,Designator,Footprint,LCSC,Quantity
0,L8,L_0603_1608Metric,C21189,1
0.75pF,C22,C_0402_1005Metric,C2931057,1
1.5M,R17,R_0805_2012Metric,C26110,1
1.8K,R4,R_0805_2012Metric,C17420,1
100K,R10,R_0805_2012Metric,C149504,1
100K,"R28,R29",R_0603_1608Metric,C25803,2
100nF,C40,C_0603_1608Metric,C14663,1
100nF,"C31,C39,C42,C44,C46,C50,C6",C_0402_1005Metric,C1525,7
100pF,"C35,C36,C37",C_0402_1005Metric,C77177,3
10K,"R25,R8",R_0805_2012Metric,C17414,2
10K,R1,R_0603_1608Metric,C25804,1
10M,"R11,R12",R_0805_2012Metric,C101929,2
10nF,C51,C_0402_1005Metric,C15195,1
10nH,"L5,L6",L_0402_1005Metric,C184029,2
10uF,"C38,C41",C_0603_1608Metric,C19702,2
15uH,L1,L_0402_1005Metric,C3221788,1
18pF,"C4,C8",C_0402_1005Metric,C1549,2
1K,"R20,R21,R22,R5,R9",R_0805_2012Metric,C17513,5
1K,R30,R_0603_1608Metric,C21190,1
1nF,"C2,C9",C_0402_1005Metric,C1523,2
1uF,C27,C_0603_1608Metric,C15849,1
1uF,C52,C_0402_1005Metric,C52923,1
2.7M,R15,R_0805_2012Metric,C170861,1
2.7nH,L4,L_0402_1005Metric,C91239,1
22uH,L7,L_0402_1005Metric,C5273842,1
3.6nH,L2,L_0402_1005Metric,C408158,1
33pF,"C45,C48,C49",C_0402_1005Metric,C76905,3
3pF,"C21,C25,C26",C_0402_1005Metric,C76906,3
4.7K,"R26,R27",R_0603_1608Metric,C23162,2
4.7pF,C24,C_0402_1005Metric,C85883,1
4.7uF,"C28,C29,C30,C33,C34",C_0603_1608Metric,C1705,5
4.7uF,"C43,C47",C_0402_1005Metric,C23733,2
470nF,C13,C_0402_1005Metric,C77003,1
47nF,C18,C_0402_1005Metric,C77017,1
47nH,L3,L_0402_1005Metric,C22334,1
47uF,C32,C_0603_1608Metric,C140782,1
5.1K,"R6,R7",R_0805_2012Metric,C27834,2
5.6K,R19,R_0805_2012Metric,C4382,1
500K,R14,R_0805_2012Metric,C3097783,1
6.2M,R13,R_0805_2012Metric,C63172,1
68pF,"C19,C23",C_0402_1005Metric,C76977,2
8.2M,R18,R_0805_2012Metric,C17829,1
8.2pF,C20,C_0402_1005Metric,C88898,1
AS179-92LF,U5,SOT-363_SC-70-6,C83422,1
BAT,J3,JST_GH_SM02B-GHS-TB_1x02-1MP_P1.25mm_Horizontal,C189893,1
BME,J11,PinHeader_1x02_P2.54mm_Vertical,C53207323,1
BME688,U7,IC_BME688,C3664478,1
BMV,J8,PinHeader_1x02_P2.54mm_Vertical,C53207323,1
BMV080,U9,CON_5035661302_MOL,C587979,1
BQ24074RGTT,U2,VQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm,C54313,1
CHG,D1,LED_0805_2012Metric,C94740,1
Conn_ST_STDC14,J1,PinHeader_2x07_P1.27mm_Vertical,C3333025,1
DTC143Z,"Q1,Q2",SOTFL50P160X85-3N,C308696,2
FG,J5,PinHeader_1x02_P2.54mm_Vertical,C53207323,1
GPS,J12,PinHeader_1x02_P2.54mm_Vertical,C53207323,1
I2C1,J6,PinHeader_1x03_P2.54mm_Vertical,C53207325,1
L80-R,U6,Quectel_L80-R,C3029061,1
LED,D2,LED_0805_2012Metric,C2296,1
LSE,X1,Crystal_SMD_3215-2Pin_3.2x1.5mm,C32346,1
MAX17048,U3,SON50P200X200X80-9N,C2682616,1
MCO,J18,PinHeader_1x02_P2.54mm_Vertical,C53207323,1
NRST,SW1,TS-1088-AR02016,C720477,1
NT2016SF,X2,NT2016SF TCXO,C36338880,1
PESD3V3L4UG,D4,DIO_PESD3V3L4UG,C52741412,1
SMA Female,J4,SMA_Samtec_SMA-J-P-H-ST-EM1_EdgeMount,C5137195,1
SPI_FLASH,J14,PinHeader_1x02_P2.54mm_Vertical,C53207323,1
SPV1050,U4,QFN40P300X300X100-21N,C5181469,1
STM32WL55CCUx,U11,QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm,C5270474,1
SYS,"J10,J15",PinHeader_1x02_P2.54mm_Vertical,C53207323,2
TC1262-33,U1,SOT-223-3,C52507,1
UART1,J9,PinHeader_1x03_P2.54mm_Vertical,C53207325,1
USB_C_Receptacle_PowerOnly_6P,J2,UC17-0B06F68011,C36936554,1
W25Q16JVSS,U8,SOIC-8_5.3x5.3mm_P1.27mm,C131025,1
blinky,D3,LED_0805_2012Metric,C2297,1
